condition_info,time,syntax_penn_tok1,syntax_penn_tok2,syntax_penn_lem1,syntax_penn_lem2,lexical_tok1,lexical_tok2,lexical_lem1,lexical_lem2,cosine_semanticL,partner_direction,utterance_length1,utterance_length2,condition,age [in months]
163.cha.conv.txt-select.txt-rand.txt,13,0.0,0.0,0.4472135954999579,0.2357022603955158,0.16666666666666669,0.0,0.16666666666666669,0.0,,CHI>MOT,3,8,TYP,21
163.cha.conv.txt-select.txt-rand.txt,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2798789427211904,MOT>CHI,8,4,TYP,21
163.cha.conv.txt-select.txt-rand.txt,15,0.2970442628930023,0.29277002188455997,0.18257418583505536,0.2773500981126146,0.06933752452815364,0.0,0.06933752452815364,0.0,0.170972618096353,CHI>MOT,4,28,TYP,21
163.cha.conv.txt-select.txt-rand.txt,16,0.31234752377721214,0.0,0.2917299829957891,0.0,0.0,0.0,0.0,0.0,0.23893953182480487,MOT>CHI,28,1,TYP,21
163.cha.conv.txt-select.txt-rand.txt,17,0.0,0.0,0.0,0.0,0.4472135954999579,0.0,0.4472135954999579,0.0,0.6359088149493443,CHI>MOT,1,5,TYP,21
163.cha.conv.txt-select.txt-rand.txt,18,0.17677669529663687,0.15811388300841897,0.17677669529663687,0.15811388300841897,0.24806946917841693,0.0,0.24806946917841693,0.0,0.598998594908515,MOT>CHI,5,9,TYP,21
163.cha.conv.txt-select.txt-rand.txt,19,0.21938172723813917,0.0,0.29250896965085227,0.0,0.0,0.0,0.0,0.0,0.48757717730589367,CHI>MOT,9,12,TYP,21
163.cha.conv.txt-select.txt-rand.txt,20,0.24253562503633297,0.0,0.24253562503633297,0.0,0.0,0.0,0.0,0.0,0.381960862326986,MOT>CHI,12,1,TYP,21
163.cha.conv.txt-select.txt-rand.txt,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24124055072486583,CHI>MOT,1,4,TYP,21
163.cha.conv.txt-select.txt-rand.txt,22,0.4082482904638631,0.0,0.5163977794943222,0.33333333333333337,0.0,0.0,0.25,0.0,0.12954719717574936,MOT>CHI,4,4,TYP,21
163.cha.conv.txt-select.txt-rand.txt,23,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3170191278239556,CHI>MOT,4,4,TYP,21
163.cha.conv.txt-select.txt-rand.txt,24,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.346864248380921,MOT>CHI,4,1,TYP,21
163.cha.conv.txt-select.txt-rand.txt,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1673235463842122,CHI>MOT,1,1,TYP,21
163.cha.conv.txt-select.txt-rand.txt,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,MOT>CHI,1,1,TYP,21
163.cha.conv.txt-select.txt-rand.txt,27,0.39605901719066977,0.0,0.45454545454545453,0.0,0.12403473458920847,0.0,0.1203858530857692,0.0,,CHI>MOT,1,39,TYP,21
163.cha.conv.txt-select.txt-rand.txt,28,0.6301260378126043,0.4120816918460671,0.7071067811865475,0.3779644730092272,0.0,0.0,0.0,0.0,0.4127748981032936,MOT>CHI,39,2,TYP,21
163.cha.conv.txt-select.txt-rand.txt,29,0.0,0.0,0.12126781251816648,0.0,0.0,0.0,0.0,0.0,0.34701828131583146,CHI>MOT,2,20,TYP,21
167.cha.conv.txt-select.txt-rand.txt,0,0.0,0.0,0.0,0.0,0.31622776601683794,0.0,0.31622776601683794,0.0,0.6462768267429061,MOT>CHI,10,2,TYP,44
167.cha.conv.txt-select.txt-rand.txt,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,CHI>MOT,2,1,TYP,44
167.cha.conv.txt-select.txt-rand.txt,2,0.565685424949238,0.0,0.6454972243679028,0.0,0.0,0.0,0.0,0.0,0.47830221888300906,MOT>CHI,1,25,TYP,44
167.cha.conv.txt-select.txt-rand.txt,3,0.3499999999999999,0.0,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.6418607471565794,CHI>MOT,25,6,TYP,44
167.cha.conv.txt-select.txt-rand.txt,4,0.44179262430643435,0.3162277660168379,0.7627700713964737,0.3464101615137754,0.052270837348931676,0.0,0.04914731871829905,0.0,0.8209359327600181,MOT>CHI,6,37,TYP,44
167.cha.conv.txt-select.txt-rand.txt,5,0.5897678246195885,0.282842712474619,0.4307748951706429,0.2581988897471611,0.0,0.0,0.0,0.0,0.5268867058694852,CHI>MOT,37,2,TYP,44
167.cha.conv.txt-select.txt-rand.txt,6,0.7857142857142856,0.2519763153394848,0.8356716504931925,0.5207556439232955,0.0,0.0,0.0,0.0,0.5482801487288834,MOT>CHI,2,33,TYP,44
167.cha.conv.txt-select.txt-rand.txt,7,0.59947894041409,0.0,0.7835467939002064,0.22783059421644178,0.06692744814102546,0.0,0.16731862035256365,0.0,0.764295917095101,CHI>MOT,33,17,TYP,44
167.cha.conv.txt-select.txt-rand.txt,8,0.6038596398555418,0.20833333333333334,0.7488452649040593,0.2916666666666667,0.16062314155080884,0.0,0.1927477698609706,0.0,0.7643996955189519,MOT>CHI,17,33,TYP,44
167.cha.conv.txt-select.txt-rand.txt,9,0.8144629623753682,0.29462782549439476,0.8025723539051279,0.29462782549439476,0.140028008402801,0.0,0.140028008402801,0.0,0.6627951697841533,CHI>MOT,33,9,TYP,44
167.cha.conv.txt-select.txt-rand.txt,10,0.5393598899705937,0.24999999999999994,0.5393598899705937,0.24999999999999994,0.0,0.0,0.0,0.0,0.39018468326220146,MOT>CHI,9,3,TYP,44
167.cha.conv.txt-select.txt-rand.txt,11,0.4472135954999579,0.0,0.6708203932499369,0.2357022603955158,0.0,0.0,0.0,0.0,0.3231379031692291,CHI>MOT,3,10,TYP,44
167.cha.conv.txt-select.txt-rand.txt,12,0.35355339059327373,0.0,0.7071067811865475,0.3333333333333333,0.0,0.0,0.0,0.0,0.43370723234303465,MOT>CHI,10,2,TYP,44
167.cha.conv.txt-select.txt-rand.txt,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4903971842555871,CHI>MOT,2,8,TYP,44
167.cha.conv.txt-select.txt-rand.txt,14,0.17677669529663687,0.0,0.17677669529663687,0.11396057645963795,0.20412414523193148,0.0,0.20412414523193148,0.0,0.6349563003463372,MOT>CHI,8,10,TYP,44
167.cha.conv.txt-select.txt-rand.txt,15,0.6063390625908325,0.15075567228888181,0.24253562503633297,0.15075567228888181,0.12909944487358055,0.0,0.12909944487358055,0.0,0.5565968442160898,CHI>MOT,10,5,TYP,44
167.cha.conv.txt-select.txt-rand.txt,16,0.5477225575051661,0.0,0.4743416490252569,0.4472135954999579,0.0,0.0,0.0,0.0,0.5152503610327405,MOT>CHI,5,6,TYP,44
167.cha.conv.txt-select.txt-rand.txt,17,0.45291081365783836,0.0,0.6804138174397716,0.0,0.0,0.0,0.0,0.0,0.5647534574662718,CHI>MOT,6,7,TYP,44
